	SP	DAX	FTSE	EUR	GBP
4/11/00	1500.589966	7442.660156	6379.200195	0.9576	1.5854
4/12/00	1467.170044	7443.069824	6350.799805	0.9556	1.5891
4/13/00	1440.51001	7449.060059	6357	0.959	1.589
4/14/00	1356.560059	7214.830078	6178.100098	0.9566	1.5873
4/17/00	1401.439941	7187.140137	5994.600098	0.9494	1.5803
4/18/00	1441.609985	7196.490234	6074	0.9435	1.5799
4/19/00	1427.469971	7216.709961	6184.899902	0.9373	1.5799
4/20/00	1434.540039	7157.950195	6241.200195	0.9376	1.5808
4/25/00	1477.439941	7280.509766	6283	0.9205	1.5782
4/26/00	1460.98999	7388.549805	6256.5	0.9133	1.5767
4/27/00	1464.920044	7221.740234	6179.299805	0.9098	1.5678
4/28/00	1452.430054	7414.680176	6327.399902	0.9088	1.5533
5/2/00	1446.290039	7555.919922	6373.399902	0.8941	1.5612
5/3/00	1415.099976	7376.930176	6184.799805	0.893	1.5377
5/4/00	1409.569946	7386.709961	6199.600098	0.8982	1.5367
5/5/00	1432.630005	7530.819824	6238.799805	0.8956	1.5307
5/8/00	1424.170044	7408.089844	6216.299805	0.8991	1.5338
5/9/00	1412.140015	7280.540039	6123.799805	0.9115	1.5238
5/10/00	1383.050049	7120.859863	6100.700195	0.9033	1.5046
5/11/00	1407.810059	7259.47998	6245.899902	0.9062	1.5157
5/12/00	1420.959961	7269.279785	6283.5	0.9151	1.5131
5/15/00	1452.359985	7195.149902	6247.700195	0.9055	1.4984
5/16/00	1466.040039	7371.060059	6318.399902	0.8956	1.4951
5/17/00	1447.800049	7211.509766	6196.200195	0.8963	1.4834
5/18/00	1437.209961	7181.580078	6233	0.8907	1.4838
5/19/00	1406.949951	6989.029785	6045.399902	0.9009	1.4868
5/22/00	1400.719971	6912.959961	6035.5	0.909	1.4785
5/23/00	1373.859985	6927.689941	6086.799805	0.9102	1.4727
5/24/00	1399.050049	6834.879883	6118.600098	0.9024	1.4698
5/25/00	1381.52002	6978.870117	6231.100098	0.9149	1.4735
5/26/00	1378.02002	6839.330078	6216.899902	0.9374	1.5009
5/30/00	1422.449951	7119.259766	6359.600098	0.9329	1.496
5/31/00	1420.599976	7109.669922	6359.399902	0.9302	1.4939
6/1/00	1448.810059	7272.759766	6470.5	0.9486	1.5107
6/2/00	1477.26001	7438.950195	6626.399902	0.9425	1.5094
6/5/00	1467.630005	7408.02002	6546.700195	0.9592	1.5237
6/6/00	1457.839966	7359.799805	6546.799805	0.9581	1.5229
6/7/00	1471.359985	7285.930176	6503.799805	0.9571	1.5086
6/8/00	1461.670044	7253.459961	6496.600098	0.9486	1.5073
6/9/00	1456.949951	7246.790039	6443.799805	0.9542	1.5112
6/12/00	1446	7240.100098	6430.899902	0.9607	1.5148
6/13/00	1469.439941	7268.910156	6447.100098	0.9607	1.5033
6/14/00	1470.540039	7350.939941	6536.299805	0.9544	1.5084
6/15/00	1478.72998	7328.620117	6490.799805	0.9592	1.5143
6/16/00	1464.459961	7252.580078	6526	0.9605	1.5123
6/19/00	1486	7198.799805	6490.200195	0.9558	1.5078
6/20/00	1475.949951	7227.27002	6526.899902	0.9458	1.4993
6/21/00	1479.130005	7100.089844	6477.799805	0.9434	1.5153
6/22/00	1452.180054	7064.72998	6413.799805	0.9411	1.5028
6/23/00	1441.47998	6980.410156	6391.5	0.9363	1.5015
6/26/00	1455.310059	7027.189941	6405.200195	0.9396	1.4976
6/27/00	1450.550049	7048.959961	6375.299805	0.9448	1.5093
6/28/00	1454.819946	7054.299805	6313.5	0.9524	1.5183
6/29/00	1442.390015	6881.939941	6239	0.9585	1.515
6/30/00	1454.599976	6882.439941	6312.700195	0.9489	1.5118
7/3/00	1469.540039	6962.02002	6470.399902	0.9554	1.5125
7/5/00	1446.22998	6961.72998	6382.5	0.9545	1.5133
7/6/00	1456.670044	6972.799805	6419.600098	0.9512	1.514
7/7/00	1478.900024	7044.77002	6497.5	0.9515	1.5133
7/10/00	1475.619995	7066.220215	6466.200195	0.953	1.5148
7/11/00	1480.880005	7006.049805	6475.799805	0.9471	1.5158
7/12/00	1492.920044	7065.970215	6518.5	0.9369	1.5005
7/13/00	1495.839966	7166.509766	6475.700195	0.9333	1.5001
7/14/00	1509.97998	7321.939941	6475.399902	0.9357	1.4918
7/17/00	1510.48999	7430.700195	6525.5	0.9349	1.4967
7/18/00	1493.73999	7406.910156	6450.5	0.9235	1.4931
7/19/00	1481.959961	7366.569824	6465.5	0.9247	1.5042
7/20/00	1495.569946	7480.140137	6469	0.9349	1.5153
7/21/00	1480.189941	7378.859863	6378.399902	0.9417	1.5169
7/25/00	1474.469971	7329.459961	6390.700195	0.9406	1.5171
7/26/00	1452.420044	7268	6387.100098	0.9385	1.5154
7/27/00	1449.619995	7183.439941	6352.100098	0.9243	1.5018
7/28/00	1419.890015	7128.299805	6335.700195	0.9267	1.4976
7/31/00	1430.829956	7190.370117	6365.299805	0.9264	1.4994
8/1/00	1438.099976	7145.529785	6379.399902	0.9118	1.4883
8/2/00	1438.699951	7112.450195	6391.299805	0.9052	1.496
8/3/00	1452.560059	7011.740234	6317.100098	0.9074	1.5038
8/4/00	1462.930054	7016.589844	6363.5	0.9074	1.5041
8/7/00	1479.319946	7113.220215	6387.799805	0.9008	1.5047
8/8/00	1482.800049	7143.959961	6358.100098	0.9	1.5013
8/9/00	1472.869995	7226.709961	6414	0.906	1.5002
8/10/00	1460.25	7280.970215	6387.299805	0.9086	1.5047
8/11/00	1471.839966	7322.97998	6384.5	0.9037	1.5093
8/14/00	1491.560059	7331.669922	6419.899902	0.9113	1.5045
8/15/00	1484.430054	7307.430176	6475.5	0.9104	1.4999
8/16/00	1479.849976	7315.27002	6532.100098	0.9151	1.4993
8/17/00	1496.069946	7278.430176	6518.200195	0.9082	1.4941
8/18/00	1491.719971	7232.419922	6543.700195	0.9036	1.4914
8/21/00	1499.47998	7199.339844	6542.200195	0.8969	1.4853
8/22/00	1498.130005	7249.200195	6584.799805	0.8943	1.4783
8/23/00	1505.969971	7232.779785	6566.200195	0.9038	1.4822
8/24/00	1508.310059	7230.259766	6557	0.9033	1.4745
8/25/00	1506.449951	7307.169922	6563.700195	0.9006	1.4717
8/28/00	1514.089966	7339.220215	6563.700195	0.8966	1.4599
8/29/00	1509.839966	7294.399902	6586.299805	0.8923	1.4534
8/30/00	1502.589966	7192.689941	6615.100098	0.8898	1.4542
8/31/00	1517.680054	7244.790039	6672.700195	0.8944	1.4567
9/1/00	1520.77002	7344.669922	6795	0.8878	1.4507
9/5/00	1507.079956	7391.27002	6752.5	0.8763	1.4483
9/6/00	1492.25	7329.899902	6694.700195	0.8708	1.4388
9/7/00	1502.51001	7373.339844	6689.200195	0.8682	1.4222
9/8/00	1494.5	7261.040039	6600.700195	0.862	1.4203
9/11/00	1489.26001	7214.450195	6582	0.8683	1.4138
9/12/00	1481.98999	7135.75	6555.5	0.8625	1.4074
9/13/00	1484.910034	7006.259766	6478.200195	0.8641	1.4123
9/14/00	1480.869995	7049.819824	6555.5	0.8617	1.4067
9/15/00	1465.810059	6999.540039	6417.299805	0.8548	1.4013
9/18/00	1444.51001	6891.689941	6410.200195	0.854	1.4071
9/19/00	1459.900024	6915.490234	6403.5	0.8477	1.4168
9/20/00	1451.339966	6765.22998	6279.899902	0.852	1.4233
9/21/00	1449.050049	6682.919922	6199.200195	0.8842	1.4629
9/22/00	1448.719971	6740.25	6205.899902	0.8748	1.4528
9/25/00	1439.030029	6788.689941	6257.100098	0.8818	1.4568
9/26/00	1427.209961	6765.040039	6213.200195	0.8846	1.4626
9/27/00	1426.569946	6814.060059	6269.299805	0.8847	1.4655
9/28/00	1458.290039	6832.759766	6264.100098	0.8792	1.4719
9/29/00	1436.51001	6798.120117	6294.200195	0.8817	1.4698
10/2/00	1436.22998	6862.259766	6284.5	0.8771	1.4598
10/4/00	1434.319946	6823.430176	6334.899902	0.8702	1.4531
